Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (Nám),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Airspeed (m/s),Airspeed Pressure (Pa),Electrical forward flight efficiency (%),Vibration (g),App message
0,1227,,,,0.01640625,-0.014453125,-1.004296875,0.008070889,0.051888323,12.56232241,0.438577228,2934,0,5.415773678,2.479795794,45.78507432,0.0209436,0.009580962,4.155085129,10.17883067,39.05339018,0.334765625,
0.459292947,1227,,,,0.0203125,0.000390625,-1.01328125,0.007691645,0.050155576,12.56121677,0.43641887,2943,0,5.390720602,2.370260722,43.95878152,0.021223006,0.009300793,4.247719413,10.63714478,38.7500255,0.315625,
3.427155947,1227,,,,0.025,-0.02578125,-1.000390625,0.00672892,0.047055758,12.54894884,0.432085948,2970,0,5.313367646,2.092463667,39.38126408,0.022488192,0.0088561,4.191216509,10.35454309,36.412427,0.354296875,
3.656274947,1227,,,,0.010546875,-0.019140625,-1.01484375,0.007453147,0.047963902,12.54872683,0.42863185,2976,0,5.292056214,2.323306877,43.91022674,0.02074308,0.009063969,4.217205134,10.48333981,37.49973493,0.3484375,
8.610804947,1227,,,,0.0234375,-0.00078125,-1.016796875,0.007309137,0.05167928,12.53230163,0.433218028,3018,0,5.284650163,2.309717015,43.71483601,0.022408908,0.009779798,3.86084401,8.785450586,37.04286656,0.367578125,
11.20395395,1227,,,,0.021875,0.053125,-1.009375,0.008579598,0.05543262,12.52438364,0.434371875,2981,0,5.29551128,2.678616423,50.58330703,0.020695613,0.010468085,3.948954474,9.191082016,40.54915798,0.369140625,
11.87444395,1227,,,,0.028125,-0.007421875,-1.0046875,0.007981147,0.047603095,12.52322783,0.429847767,3034,0,5.260298777,2.535511066,48.21315568,0.018871919,0.009049914,3.890487069,8.922506272,34.54363374,0.385546875,
12.58376295,1227,,,,0.021484375,-0.082421875,-1.011328125,0.008040136,0.050889117,12.52223498,0.432847283,3008,0,5.269931682,2.532848459,48.06782297,0.02033393,0.009656894,3.977410522,9.322647478,37.67841378,0.366796875,
13.00080495,1227,,,,0.01875,-0.034375,-0.9984375,0.007592991,0.046112155,12.52178872,0.430032871,3016,0,5.240625301,2.397863552,45.75627579,0.019189699,0.008801197,3.991074415,9.386556671,34.45587391,0.39765625,
13.66888895,1227,,,,0.01796875,-0.045703125,-1.001171875,0.008180607,0.044296939,12.51923076,0.433364722,2971,0,5.271730256,2.545376708,48.28345097,0.017403211,0.008402673,3.88705792,8.903467553,32.04048815,0.391796875,
55.24598395,1302,,,,0.045703125,-0.012109375,-0.983203125,0.022240937,0.128837508,12.21326716,1.437876137,4982,0,17.4466453,11.60306225,66.50576643,0.01110394,0.007384677,5.751858494,19.51381617,41.66870654,2.268359375,
55.64975695,1302,,,,0.040234375,-0.023046875,-1.037890625,0.022451568,0.132036702,12.21213334,1.446066665,4978,0,17.52614586,11.70275785,66.77353566,0.011282439,0.007533819,5.738024743,19.42025815,42.4063812,2.306640625,
55.95604995,1302,,,,0.065234375,-0.044921875,-0.937890625,0.022398635,0.13505588,12.21302054,1.437402705,4995,0,17.3989987,11.71505002,67.33184503,0.011528421,0.00776231,5.78579798,19.74585139,44.05588044,2.340234375,
